TIPO_PRODUTO;NOME_PRODUTO;NUMERO_REGISTRO_PRODUTO;CLASSE_TERAPEUTICA
MEDICAMENTO; (VITAMINAS A )  +  ASSSOCIACÕES;104540166;VITAMINAS E SUPLEMENTOS MINERAIS
MEDICAMENTO; AC SALICILICO + AC BENZOICO + IODO;119350001;ANTIMICOTICOS PARA USO TOPICO
MEDICAMENTO; ALENDRONATO SODICO;100470305;SUPRESSORES DA REABSORCAO OSSEA
MEDICAMENTO; ARNICA MONTANA;104730021;FITOTERAPICO SIMPLES
MEDICAMENTO; ARNICA MONTANA L.;131750004;FITOTERAPICO SIMPLES
MEDICAMENTO; BUPIVACAINA + EPINEFRINA;105530205;ANESTESICOS
MEDICAMENTO; CETOCONAZOL;146950014;ANTIMICOTICO
MEDICAMENTO; CLORETO DE CETILPIRIDINIO + BENZOCAINA;105830111;ANTINFECCIOSOS E ANTISSEPTICOS TOPICOS PARA OROFARINGE
MEDICAMENTO; CLORETO DE SODIO;151700006;REIDRATANTES PARENTERAIS
MEDICAMENTO; CLORIDRATO DE DOBUTAMINA  ( EQUIV. A 25 MG DE DOBUT. BASE);120690008;DILUENTES E VEICULOS DE MEDICAMENTOS + OUTROS MEDICAMENTOS DE ACAO NO APARELHO CARDIOVASCULAR
MEDICAMENTO; DIPIRONA;140750001;ANALGESICOS
MEDICAMENTO; EUCALYPTUS GLOBULUS  LABILL.;121070001;FITOTERAPICO SIMPLES
MEDICAMENTO; GINKGO BILOBA;107740002;FITOTERAPICO SIMPLES
MEDICAMENTO; HEPARINA + HIALURONIDASE + LIDOCAINA;101180040;ANTIVARICOSOS TOPICOS
MEDICAMENTO; HYPERICUM PERFORATUM;109980025;FITOTERAPICO SIMPLES
MEDICAMENTO; HYPERICUM PERFORATUM L;104730019;FITOTERAPICO SIMPLES
MEDICAMENTO; IMUNOCIANINA;123610046;IMUNOMODULADOR
MEDICAMENTO; IODETO DE POTASSIO;126250086;EXPECTORANTES
MEDICAMENTO; IODETO DE POTASSIO;105710126;EXPECTORANTES
MEDICAMENTO; KAVA KAVA;105770173;FITOTERAPICO SIMPLES
MEDICAMENTO; METILDOPA;150300006;ANTI-HIPERTENSIVOS
MEDICAMENTO; NISTATINA;116540021;ANTIMICOTICO
MEDICAMENTO; RABEPRAZOL SODICO;105500142;ANTIULCEROSOS
MEDICAMENTO; SULFATO DE AMICACINA;102350343;ANTIBIOTICOS SISTEMICOS SIMPLES
MEDICAMENTO; TAMOXIFENO;123890033;ANTINEOPLASICO
MEDICAMENTO; TENOXICAM;101160130;ANTINFLAMATORIOS ANTIREUMATICOS
MEDICAMENTO; TERBINAFINA;118610034;ANTIMICOTICO
MEDICAMENTO; VACINA CONTRA SARAMPO, CAXUMBA E RUBEOLA;100680871;VACINAS
MEDICAMENTO; VITAMINA C + ASSOCIAÇÕES;126090012;POLIVITAMINICOS COM MINERAIS
MEDICAMENTO;1/6 Molar Halex Istar;103110127;ELETROLITOS SIMPLES
MEDICAMENTO;17-VALERATO DE BETAMETASONA + ACIDO SALICILICO;106750045;GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA
MEDICAMENTO;17-VALERATO DE BETAMETASONA+ASSOCIASSOES;104400101;GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA
MEDICAMENTO;21 - ACETATO DE DEXAMETAZONA VIT B1, VIT B6 E VIT B 12;115570020;ANTINFLAMATORIOS E ANTIREUMATIOS-ASSOCS  MEDICAMENTOSAS
MEDICAMENTO;50 + multivitamínico;139330017;POLIVITAMINICOS COM MINERAIS
MEDICAMENTO;6 - COPENA;102700125;ANTIEMETICOS E ANTINAUSEANTES
MEDICAMENTO;A CURITYBINA;104970089;CERATOLITICOS E CERATOPLASTICOS
MEDICAMENTO;A SAUDE DA MULHER;101430001;ANTIESPASMODICOS E ANTICOLINERGICOS-ASSOC  MEDICAMENTOSAS
MEDICAMENTO;A SAÚDE DA MULHER;105830361;ANTIESPASMODICOS E ANTICOLINERGICOS-ASSOC  MEDICAMENTOSAS
MEDICAMENTO;A SAÚDE DA MULHER;102351059;ANTIESPASMODICOS E ANTICOLINERGICOS-ASSOC  MEDICAMENTOSAS
MEDICAMENTO;A.F.B.M;105830001;POLIVITAMINICOS SEM MINERAIS
MEDICAMENTO;AAS;120330021;ANALGESICOS NAO NARCOTICOS
MEDICAMENTO;AAS;113000995;ANALGESICOS NAO NARCOTICOS
MEDICAMENTO;AAS;183260386;ANALGESICOS NAO NARCOTICOS
MEDICAMENTO;AAS PROTECT;120330280;ANTIAGREGANTE PLAQUETARIO
MEDICAMENTO;AAS PROTECT;113000991;ANTIAGREGANTE PLAQUETARIO
MEDICAMENTO;AAS PROTECT;183260387;ANTIAGREGANTE PLAQUETARIO
MEDICAMENTO;ABACICLOVIR;127480013;ANTIVIROTICOS
MEDICAMENTO;ABBA;146820078;AGENTES ANTINEOPLÁSICOS
MEDICAMENTO;ABBOT EFEDRINA;105530180;HIPERTENSOR
MEDICAMENTO;ABBOTTRACURIUM;105530222;ANESTESICOS GERAIS INJETAVEIS
MEDICAMENTO;ABC;106890153;ANTIMICOTICOS PARA USO TOPICO
MEDICAMENTO;ABC PLUS;136310004;VITAMINAS E SUPLEMENTOS MINERAIS
MEDICAMENTO;ABCALCIUM B12;144930020;VITAMINAS E SUPLEMENTOS MINERAIS
MEDICAMENTO;ABCIXIMAB;100630176;ANTICOAGULANTES
MEDICAMENTO;ABCLER ABNAT;144930011;OUTROS PRODUTOS PARA O APARELHO DIGESTIVO E METABOLISMO
MEDICAMENTO;ABEDERIL;144930012;ANTINFLAMATORIOS E ANTIREUMATIOS-ASSOCS  MEDICAMENTOSAS
MEDICAMENTO;ABEDOSEC;144930008;ANTIULCEROSOS
MEDICAMENTO;ABELCET;100890257;ANTIMICOTICOS SISTEMICOS
MEDICAMENTO;ABELCET;156260016;ANTIMICOTICOS SISTEMICOS
MEDICAMENTO;ABELIA;113001101;IMUNOMODULADOR
MEDICAMENTO;ABEPOTEN;144930016;ANTI-HIPERTENSIVOS SIMPLES
MEDICAMENTO;ABERALGINA;144930010;ANALGESICOS NAO NARCOTICOS
MEDICAMENTO;ABFOR GERIN;144930001;VITAMINAS E SUPLEMENTOS MINERAIS
MEDICAMENTO;ABFOR GERIN;144930051;POLIVITAMINICOS COM MINERAIS
MEDICAMENTO;ABIDOR;144930004;ANALGESICOS
MEDICAMENTO;ABIFLAN;144930003;ANTINFLAMATORIOS
MEDICAMENTO;ABIFLAN;144930009;ANTINFLAMATORIOS
MEDICAMENTO;ABILIFY;101800279;ANTIPSICOTICOS
MEDICAMENTO;ABINESIL;115600144;ANTIDIABETICOS
MEDICAMENTO;ABLOK;109740100;BETABLOQUEADORES SIMPLES
MEDICAMENTO;ABLOK PLUS;109740092;ANTI-HIPERTENSIVOS
MEDICAMENTO;ABOBORA D''ANTA;102480001;FITOTERAPICO COMPOSTO
MEDICAMENTO;ABRENA;110330046;DESCONGESTIONANTES NASAIS TOPICOS
MEDICAMENTO;ABRETIA;103900192;ANTIDEPRESSIVOS
MEDICAMENTO;ABRIFIT;154230216;EXPECTORANTES SIMPLES + FITOTERAPICO SIMPLES
MEDICAMENTO;ABRILAR;103900141;EXPECTORANTES + FITOTERAPICO SIMPLES
MEDICAMENTO;ABSTEN S;101810283;ANOREXICOS SIMPLES
MEDICAMENTO;AC ACETIL+ASSOC;105730270;ANALGESICOS NAO NARCOTICOS
MEDICAMENTO;AC ASCORBICO+CARBONATO DE MAGNESIO+CARB DE CALCIO+ LACT. FERROSO;110860049;VITAMINAS E SUPLEMENTOS MINERAIS
MEDICAMENTO;AC BENZOICO ASSOCIADO;102660049;ANTISSEPTICO
MEDICAMENTO;AC. ACETIL SALICILICO + ASSOCIAÇÕES;109740105;ANALGESICOS NAO NARCOTICOS
MEDICAMENTO;AC. ACETILSALICILICO+ASSOCIAÇÕES;104650233;ANTIACIDOS E ANTIULCEROSOS SIMPLES
MEDICAMENTO;AC. ASCORBICO;100470344;VITAMINAS OU MINERAIS ASSOCIADOS A OUTROS FARMACOS
MEDICAMENTO;AC. ASCORBICO + ASSOCIACÕES;100020090;POLIVITAMINICOS COM MINERAIS
MEDICAMENTO;AC. GLUTAMICO + ASSOCIAÇÕES;108580225;PRODUTOS PARA DIETAS ESPECIAIS
MEDICAMENTO;ACAFRAN;104400021;COLAGOGOS E COLERETICOS
MEDICAMENTO;ACALKA;104440106;PRODUTOS PARA VIAS URINARIAS
MEDICAMENTO;ACALMIL;106240231;FITOTERAPICO COMPOSTO
MEDICAMENTO;ACALMIL;118190118;FITOTERAPICO COMPOSTO
MEDICAMENTO;ACALMILFITO;118190216;ANSIOLITICOS-ASSOCIACOES MEDICAMENTOSAS + FITOTERAPICO COMPOSTO
MEDICAMENTO;ACARSAN;112130350;ESCABICIDAS E OUTROS ECTOPARASITICIDAS
MEDICAMENTO;ACCERA;101810616;ANTIGLAUCOMATOSOS
MEDICAMENTO;ACCERA;183260032;ANTIGLAUCOMATOSOS
MEDICAMENTO;ACCOLATE;116180065;ANTIASMATICOS
MEDICAMENTO;ACCUPRIL;102160087;ANTI-HIPERTENSIVOS
MEDICAMENTO;ACCUVIT;105730206;VITAMINAS E SUPLEMENTOS MINERAIS
MEDICAMENTO;ACEBROFILINA;108580230;BRONCODILATADORES
MEDICAMENTO;ACEBROFILINA;135690195;BRONCODILATADORES
MEDICAMENTO;ACEBROFILINA;112130333;BRONCODILATADORES
MEDICAMENTO;ACEBROFILINA;101810476;BRONCODILATADORES
MEDICAMENTO;ACEBROFILINA;104650418;BRONCODILATADORES
MEDICAMENTO;ACEBROFILINA;104971318;EXPECTORANTES
MEDICAMENTO;ACEBROFILINA;125680159;BRONCODILATADORES
MEDICAMENTO;ACEBROFILINA;154230123;BRONCODILATADORES
MEDICAMENTO;ACEBROFILINA;172870109;BRONCODILATADORES
MEDICAMENTO;ACEBROFILINA;178170089;BRONCODILATADORES
MEDICAMENTO;ACEBROFILINA;155840398;BRONCODILATADORES
MEDICAMENTO;ACEBROFILINA;105730609;BRONCODILATADORES
MEDICAMENTO;ACECILICO;113050036;ANALGESICOS NAO NARCOTICOS
MEDICAMENTO;ACECILICO;113050002;ANALGESICOS NAO NARCOTICOS
MEDICAMENTO;ACECLOFENAC;108580179;ANTINFLAMATORIOS
MEDICAMENTO;ACECLOFENACO;103940455;ANTINFLAMATORIOS
MEDICAMENTO;ACECLOFENACO;104971130;ANTINFLAMATORIOS
MEDICAMENTO;ACECLOFENACO;105730265;ANTINFLAMATORIOS
MEDICAMENTO;ACECLOFENACO;101800258;ANTINFLAMATORIOS
MEDICAMENTO;ACECLOFENACO;123520100;ANTINFLAMATORIOS
MEDICAMENTO;ACECLOFENACO;102350841;ANTINFLAMATORIOS
MEDICAMENTO;ACECLOFENACO;105830541;ANTINFLAMATORIOS
MEDICAMENTO;ACECLOFENACO;135690419;ANTINFLAMATORIOS
MEDICAMENTO;ACECLOFENACO;118190078;ANTINFLAMATORIOS
MEDICAMENTO;ACECLOFENACO;102351053;ANTINFLAMATORIOS
MEDICAMENTO;ACECLOFENACO;105830742;ANTINFLAMATORIOS
MEDICAMENTO;ACECLOFENACO;167730357;ANTINFLAMATORIOS
MEDICAMENTO;ACECLOFENACO;126750156;ANTINFLAMATORIOS
MEDICAMENTO;ACECLOFENACO;103920172;ANTINFLAMATORIOS
MEDICAMENTO;ACECLOFENACO;156510064;ANTINFLAMATORIOS
MEDICAMENTO;ACECTIL;110330008;ANALGESICOS NAO NARCOTICOS
MEDICAMENTO;ACEDILAT;125680235;BRONCODILATADORES
MEDICAMENTO;ACEFLOR;126750290;ANTINFLAMATORIOS
MEDICAMENTO;ACEMEDROX;105770005;PROGESTAGENOS SIMPLES
MEDICAMENTO;ACEPONATO DE HIDROCORTISONA;129160044;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.
MEDICAMENTO;ACERATUM;104400005;MEDICAMENTOS ATIVOS NA SECRECAO GORDUROSA
MEDICAMENTO;ACEROGRIP C;104041922;MONOVITAMINAS EXCETO VITAMINA K
MEDICAMENTO;ACEROL;100430134;AMEBICIDAS, GIARDICIDAS E TRICOMONICIDAS
MEDICAMENTO;ACEROLITA;110220006;MONOVITAMINAS EXCETO VITAMINA K
MEDICAMENTO;ACEROLUP C;104042002;MONOVITAMINAS EXCETO VITAMINA K
MEDICAMENTO;ACEROLUP C;172870459;MONOVITAMINAS EXCETO VITAMINA K
MEDICAMENTO;ACEROLUP C;155840387;MONOVITAMINAS EXCETO VITAMINA K
MEDICAMENTO;ACERTALIX;112780077;ANTI-HIPERTENSIVOS
MEDICAMENTO;ACERTANLO;112780075;ANTI-HIPERTENSIVOS
MEDICAMENTO;ACERTIL;112780074;ANTI-HIPERTENSIVOS
MEDICAMENTO;ACESYL;164000001;VITAMINAS E SUPLEMENTOS MINERAIS
MEDICAMENTO;ACETAMIL;102940115;ANALGESICOS NAO NARCOTICOS
MEDICAMENTO;ACETAMOL;115200017;ANALGESICOS NAO NARCOTICOS
MEDICAMENTO;ACETAN;113430031;ANALGESICOS NAO NARCOTICOS
MEDICAMENTO;ACETATO DE ABIRATERONA;100431245;ANTINEOPLASICO
MEDICAMENTO;ACETATO DE ALFA DL TOCOFEROL;108170063;MONOVITAMINAS EXCETO VITAMINA K
MEDICAMENTO;ACETATO DE CIPROTERONA;104650316;PROGESTAGENOS SIMPLES
MEDICAMENTO;ACETATO DE CIPROTERONA;143170001;PROGESTAGENOS SIMPLES
MEDICAMENTO;ACETATO DE CIPROTERONA;104971386;PROGESTAGENOS SIMPLES
MEDICAMENTO;ACETATO DE CIPROTERONA + ETINILESTRADIOL;106460069;HORMONIOS SEXUAIS EXCLUSIVE OCITOCICOS
MEDICAMENTO;ACETATO DE CIPROTERONA + ETINILESTRADIOL;100470566;PRODUTOS ANTI-ACNE
MEDICAMENTO;ACETATO DE CIPROTERONA+ETINILESTRADIOL;155840400;ESTROGENOS ASSOCS  A OUTROS FARMACOS EXCLUSIVE ANDROGENOS
MEDICAMENTO;ACETATO DE CIPROTERONA+ETINILESTRADIOL;155890004;ESTROGENOS ASSOCS  A OUTROS FARMACOS EXCLUSIVE ANDROGENOS
MEDICAMENTO;ACETATO DE CIPROTERONA+ETINILESTRADIOL;177940029;ANDROGENOS SIMPLES
MEDICAMENTO;ACETATO DE CLORMADINONA + ETINILESTRADIOL;126750408;ANTICONCEPCIONAIS
MEDICAMENTO;ACETATO DE CLORMADINONA + ETINILESTRADIOL;167730674;ANTICONCEPCIONAIS
MEDICAMENTO;ACETATO DE CLORMADINONA + ETINILESTRADIOL;105831005;ANTICONCEPCIONAIS
MEDICAMENTO;ACETATO DE CLORMADINONA+ETINILESTRADIOL;113001134;ANTICONCEPCIONAIS
MEDICAMENTO;ACETATO DE CLORMADINONA+ETINILESTRADIOL;101810637;ANTICONCEPCIONAIS
MEDICAMENTO;ACETATO DE CLORMADINONA+ETINILESTRADIOL;183260041;ANTICONCEPCIONAIS
MEDICAMENTO;ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA;101810534;CERATOLITICOS E CERATOPLASTICOS
MEDICAMENTO;ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA;101810535;CERATOLITICOS E CERATOPLASTICOS
MEDICAMENTO;ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA;183260226;CERATOLITICOS E CERATOPLASTICOS
MEDICAMENTO;ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA;183260255;CERATOLITICOS E CERATOPLASTICOS
MEDICAMENTO;ACETATO DE DEXAMETASONA;125740026;HORMONIOS CORTICOSTEROIDES
MEDICAMENTO;ACETATO DE DEXAMETASONA;102270032;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.
MEDICAMENTO;ACETATO DE DEXAMETASONA;125680126;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.
MEDICAMENTO;ACETATO DE DEXAMETASONA;104971334;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.
